user,item,feature,rate
8,1294,"[[209, 1], [1120, 1]]",5
62,1638,"[[1086, 1], [812, 1], [439, 1], [173, 1], [635, 1], [254, 1], [345, 1]]",4
41,49,"[[413, 1], [646, 1], [1386, 1], [1445, 1], [892, 1]]",4
29,1168,"[[595, 1], [94, 1], [309, 1], [815, 1], [1385, 1]]",4
55,1290,"[[430, 1], [72, 1]]",4
25,289,"[[875, 1], [1044, 1], [974, 1], [684, 1], [435, 1], [173, 1]]",5
10,380,"[[1093, 1], [117, 1]]",5
34,939,"[[506, 1], [39, 1], [892, 1], [1422, 1], [520, 1]]",4
20,678,"[[573, 1], [718, 1]]",3
12,171,"[[408, 1], [1048, 1], [41, 1]]",4
18,244,"[[771, 1]]",5
11,1153,"[[851, 1], [1093, 1], [714, 1]]",4
9,323,"[[362, 1]]",5
50,706,"[[106, 1], [276, 1], [755, 1], [655, 1]]",4
59,994,"[[506, 1], [435, 1]]",5
12,482,"[[807, 1], [529, 1], [671, 1], [1136, 1]]",4
42,2112,"[[94, 1], [1433, 1]]",3
58,2058,"[[1240, 1], [1086, 1], [892, 1]]",4
55,2695,"[[1240, 1], [1026, 1], [573, 1]]",5
59,2026,"[[1093, 1], [309, 1]]",3
4,2753,"[[356, 1], [581, 1], [782, 1], [573, 1], [131, 1], [561, 1], [892, 1], [1501, 1], [131, 1]]",2
55,610,"[[614, 1], [830, 1], [131, 1], [892, 1]]",4
5,444,"[[173, 1], [892, 1], [309, 1]]",4
16,2612,"[[1382, 1], [1385, 1], [614, 1], [273, 1]]",3
27,1306,"[[1086, 1], [520, 1]]",4
37,2572,"[[900, 1]]",4
29,1265,"[[474, 1]]",3
24,1223,"[[692, 1]]",3
10,1663,"[[131, 1]]",4
10,906,"[[807, 1], [1547, 1], [435, 1], [173, 1]]",4
33,726,"[[1240, 1], [851, 1], [1026, 1], [1422, 1]]",5
51,2755,"[[98, 1], [1386, 1]]",4
29,1648,"[[586, 1]]",5
24,1584,"[[459, 1], [1446, 1], [60, 1], [884, 1]]",4
12,1441,"[[835, 1], [755, 1]]",4
42,1488,"[[935, 1]]",2
12,2068,"[[432, 1], [170, 1], [1278, 1], [889, 1], [435, 1], [479, 1], [99, 1]]",4
37,2294,"[[1240, 1], [557, 1], [851, 1], [131, 1], [905, 1]]",3
58,2248,"[[13, 1], [681, 1], [1306, 1]]",5
4,45,"[[1442, 1], [1086, 1], [1385, 1], [506, 1], [1472, 1], [235, 1], [162, 1], [1513, 1], [251, 1], [506, 1]]",5
0,2671,"[[983, 1], [60, 1], [1407, 1]]",3
37,732,"[[1093, 1]]",4
20,312,"[[892, 1]]",4
41,2088,"[[1542, 1]]",4
32,177,"[[755, 1], [847, 1], [441, 1]]",5
19,1067,"[[131, 1], [1093, 1]]",3
59,1129,"[[835, 1], [1093, 1], [795, 1]]",3
26,330,"[[573, 1], [1220, 1], [194, 1], [892, 1], [232, 1]]",4
27,787,"[[1437, 1]]",4
27,232,"[[99, 1], [892, 1]]",1
41,1010,"[[583, 1]]",4
54,1620,"[[1385, 1], [1266, 1], [1399, 1], [1220, 1], [35, 1], [173, 1]]",3
27,1225,"[[334, 1], [660, 1]]",2
24,888,"[[1495, 1]]",5
33,931,"[[1086, 1], [506, 1], [190, 1]]",4
10,24,"[[1240, 1], [98, 1], [544, 1], [131, 1], [1168, 1], [220, 1]]",5
30,2720,"[[889, 1]]",4
10,1623,"[[1259, 1], [958, 1], [1250, 1], [368, 1]]",5
60,1688,"[[1400, 1], [416, 1], [173, 1]]",4
10,1668,"[[583, 1], [755, 1], [94, 1]]",4
53,1105,"[[1385, 1], [573, 1], [405, 1], [892, 1]]",5
46,2064,"[[106, 1]]",4
23,1542,"[[98, 1]]",5
12,2072,"[[573, 1], [864, 1], [967, 1], [1437, 1], [538, 1]]",4
61,1039,"[[280, 1], [809, 1]]",3
41,123,"[[1540, 1]]",4
32,1484,"[[1402, 1], [413, 1], [157, 1], [912, 1]]",5
60,592,"[[851, 1], [625, 1], [41, 1]]",4
24,45,"[[506, 1], [1251, 1], [1407, 1], [1143, 1], [815, 1]]",5
5,3,"[[421, 1], [1266, 1], [1399, 1], [131, 1], [1026, 1], [1183, 1], [889, 1], [668, 1], [82, 1]]",2
48,816,"[[1445, 1], [366, 1], [1130, 1], [57, 1]]",5
59,730,"[[435, 1]]",4
59,2501,"[[1093, 1]]",4
57,1126,"[[105, 1]]",4
61,379,"[[522, 1]]",3
54,1297,"[[1495, 1], [1362, 1], [131, 1]]",4
16,503,"[[755, 1]]",4
58,2568,"[[190, 1], [51, 1], [614, 1], [462, 1], [621, 1], [1249, 1], [365, 1], [345, 1], [181, 1]]",4
33,2659,"[[1485, 1], [1048, 1]]",5
4,2646,"[[1442, 1], [615, 1], [42, 1], [173, 1]]",5
16,2080,"[[892, 1], [30, 1]]",5
27,921,"[[573, 1]]",5
10,1704,"[[1320, 1], [170, 1], [514, 1], [1147, 1], [1093, 1], [173, 1], [509, 1]]",4
46,833,"[[864, 1], [1023, 1], [892, 1], [1093, 1], [892, 1]]",4
53,590,"[[41, 1]]",4
33,2345,"[[771, 1], [586, 1], [1006, 1]]",4
41,1414,"[[1382, 1], [692, 1], [542, 1], [1236, 1]]",5
12,1488,"[[557, 1], [206, 1], [1548, 1], [806, 1], [935, 1], [987, 1], [441, 1]]",3
17,643,"[[795, 1]]",3
46,670,"[[421, 1], [614, 1], [1057, 1]]",5
61,2658,"[[1093, 1]]",4
61,296,"[[432, 1], [1540, 1], [358, 1], [615, 1], [538, 1]]",3
2,1539,"[[51, 1], [851, 1], [131, 1], [1210, 1], [735, 1]]",5
46,822,"[[892, 1]]",5
55,1826,"[[131, 1]]",5
22,2690,"[[755, 1], [435, 1]]",5
44,1182,"[[1283, 1]]",4
55,496,"[[614, 1], [974, 1], [892, 1], [892, 1]]",3
35,404,"[[1386, 1], [935, 1]]",4
16,2337,"[[1385, 1], [98, 1]]",2
1,1987,"[[614, 1], [413, 1], [615, 1], [72, 1], [453, 1]]",4
60,1505,"[[791, 1], [97, 1]]",5
37,1994,"[[956, 1], [309, 1]]",4
44,296,"[[313, 1], [1130, 1]]",5
34,1918,"[[1093, 1], [889, 1], [1120, 1]]",4
33,147,"[[1147, 1], [435, 1], [892, 1]]",4
55,830,"[[468, 1], [1386, 1], [106, 1]]",5
53,2695,"[[421, 1], [506, 1], [1143, 1]]",5
27,555,"[[432, 1], [1136, 1], [1026, 1], [82, 1]]",5
57,2137,"[[112, 1], [1518, 1]]",4
23,2327,"[[1527, 1], [98, 1], [1002, 1], [1540, 1], [805, 1], [569, 1]]",5
55,396,"[[140, 1], [13, 1], [51, 1], [555, 1], [360, 1]]",5
25,2513,"[[19, 1], [655, 1], [1147, 1], [929, 1], [1533, 1], [538, 1], [199, 1]]",4
59,2436,"[[506, 1], [468, 1], [892, 1], [106, 1]]",3
26,2088,"[[631, 1], [935, 1]]",5
41,307,"[[755, 1], [615, 1], [805, 1], [131, 1], [615, 1]]",5
61,2039,"[[190, 1], [275, 1], [851, 1], [618, 1], [115, 1], [993, 1], [912, 1]]",4
25,336,"[[273, 1], [573, 1], [521, 1], [785, 1], [864, 1]]",5
41,735,"[[1210, 1], [166, 1]]",4
