,0,1,2
0,18@1095,"[[1386, 1]]",4.0
1,50@1931,"[[106, 1], [851, 1], [1060, 1], [782, 1], [1026, 1], [182, 1], [1159, 1]]",2.0
2,9@172,"[[542, 1]]",3.0
3,49@1372,"[[851, 1], [544, 1], [399, 1], [1445, 1]]",5.0
4,50@636,"[[621, 1], [309, 1], [755, 1], [549, 1], [413, 1], [1160, 1], [70, 1]]",3.5
5,18@676,"[[209, 1], [1093, 1], [1235, 1]]",4.0
6,50@755,"[[384, 1], [946, 1]]",5.0
7,20@308,"[[807, 1], [1514, 1], [1093, 1], [309, 1], [892, 1]]",4.0
8,20@2150,"[[471, 1]]",4.0
9,20@1994,"[[90, 1], [506, 1]]",4.0
10,7@1915,"[[1382, 1], [851, 1], [972, 1]]",4.0
11,22@2403,"[[851, 1]]",5.0
12,9@1012,"[[1386, 1], [1523, 1], [1048, 1]]",4.0
13,26@1419,"[[1210, 1]]",5.0
14,62@1943,"[[131, 1]]",4.0
15,20@1051,"[[449, 1], [538, 1]]",4.0
16,7@2083,"[[1143, 1], [658, 1]]",2.0
17,22@1230,"[[506, 1]]",4.0
18,52@393,"[[368, 1], [1093, 1], [935, 1], [1437, 1], [569, 1], [206, 1]]",4.0
19,26@2682,"[[1438, 1]]",5.0
20,62@2745,"[[692, 1], [615, 1], [1093, 1], [892, 1]]",3.0
21,52@2663,"[[345, 1]]",4.0
22,54@2160,"[[51, 1], [334, 1], [1546, 1], [399, 1], [365, 1], [1367, 1], [1445, 1], [51, 1]]",4.0
23,54@913,"[[190, 1], [851, 1], [1445, 1], [413, 1]]",4.0
24,54@782,"[[334, 1], [940, 1], [1167, 1], [360, 1], [376, 1], [1035, 1]]",3.0
25,52@1213,"[[1385, 1], [98, 1], [542, 1], [914, 1], [1542, 1], [1385, 1]]",4.0
26,2@1321,"[[1174, 1], [421, 1], [468, 1], [1386, 1], [295, 1], [1422, 1], [892, 1]]",5.0
27,2@768,"[[131, 1], [1553, 1]]",2.0
28,26@316,"[[413, 1]]",4.0
29,62@541,"[[514, 1]]",4.0
30,20@1884,"[[1009, 1], [882, 1], [98, 1], [493, 1], [645, 1], [435, 1], [538, 1]]",4.0
31,54@97,"[[1240, 1], [421, 1], [1413, 1], [1251, 1], [851, 1], [1102, 1], [365, 1], [538, 1]]",3.0
32,52@389,"[[1060, 1]]",4.0
33,26@2326,"[[51, 1], [1553, 1]]",4.0
34,52@615,"[[432, 1], [421, 1], [1521, 1], [806, 1]]",5.0
35,50@1050,"[[535, 1], [755, 1]]",2.0
36,51@1181,"[[491, 1]]",4.0
37,20@1654,"[[1462, 1]]",4.0
38,22@681,"[[131, 1], [173, 1]]",2.0
39,62@654,"[[1386, 1]]",4.0
40,2@1364,"[[72, 1]]",5.0
41,26@1050,"[[413, 1]]",5.0
42,7@513,"[[755, 1], [621, 1], [131, 1]]",2.0
43,53@608,"[[1060, 1]]",5.0
44,20@1986,"[[586, 1], [1128, 1]]",4.0
45,54@2040,"[[273, 1], [506, 1], [1220, 1], [173, 1], [889, 1]]",4.0
46,30@404,"[[41, 1]]",4.0
47,26@1789,"[[468, 1], [1437, 1]]",4.0
48,49@1076,"[[1093, 1], [1097, 1], [1235, 1]]",1.0
49,22@1632,"[[1540, 1], [538, 1]]",4.0
50,57@511,"[[1048, 1], [262, 1], [42, 1]]",5.0
