,0,1,2
0,8@1294,"[[209, 1], [1120, 1]]",5.0
1,62@1638,"[[1086, 1], [812, 1], [439, 1], [173, 1], [635, 1], [254, 1], [345, 1]]",4.0
2,41@49,"[[413, 1], [646, 1], [1386, 1], [1445, 1], [892, 1]]",4.0
3,29@1168,"[[595, 1], [94, 1], [309, 1], [815, 1], [1385, 1]]",4.0
4,55@1290,"[[430, 1], [72, 1]]",4.0
5,25@289,"[[875, 1], [1044, 1], [974, 1], [684, 1], [435, 1], [173, 1]]",5.0
6,10@380,"[[1093, 1], [117, 1]]",5.0
7,34@939,"[[506, 1], [39, 1], [892, 1], [1422, 1], [520, 1], [875, 1], [421, 1], [1361, 1], [176, 1], [610, 1]]",4.5
8,20@678,"[[573, 1], [718, 1]]",3.0
9,12@171,"[[408, 1], [1048, 1], [41, 1]]",4.0
10,18@244,"[[771, 1]]",5.0
11,11@1153,"[[851, 1], [1093, 1], [714, 1]]",4.0
12,9@323,"[[362, 1]]",5.0
13,50@706,"[[106, 1], [276, 1], [755, 1], [655, 1]]",4.0
14,59@994,"[[506, 1], [435, 1]]",5.0
15,12@482,"[[807, 1], [529, 1], [671, 1], [1136, 1], [103, 1], [856, 1], [782, 1], [1144, 1], [71, 1], [755, 1], [1231, 1], [746, 1], [668, 1], [321, 1], [892, 1], [1437, 1], [1553, 1], [1093, 1], [746, 1], [1501, 1], [131, 1], [735, 1], [1329, 1], [1422, 1]]",4.75
16,42@2112,"[[94, 1], [1433, 1]]",3.0
17,58@2058,"[[1240, 1], [1086, 1], [892, 1]]",4.0
18,55@2695,"[[1240, 1], [1026, 1], [573, 1]]",5.0
19,59@2026,"[[1093, 1], [309, 1]]",3.0
20,4@2753,"[[356, 1], [581, 1], [782, 1], [573, 1], [131, 1], [561, 1], [892, 1], [1501, 1], [131, 1]]",2.0
21,55@610,"[[614, 1], [830, 1], [131, 1], [892, 1]]",4.0
22,5@444,"[[173, 1], [892, 1], [309, 1]]",4.0
23,16@2612,"[[1382, 1], [1385, 1], [614, 1], [273, 1]]",3.0
24,27@1306,"[[1086, 1], [520, 1]]",4.0
25,37@2572,"[[900, 1]]",4.0
26,29@1265,"[[474, 1], [474, 1]]",3.5
27,24@1223,"[[692, 1]]",3.0
28,10@1663,"[[131, 1]]",4.0
29,10@906,"[[807, 1], [1547, 1], [435, 1], [173, 1]]",4.0
30,33@726,"[[1240, 1], [851, 1], [1026, 1], [1422, 1]]",5.0
31,51@2755,"[[98, 1], [1386, 1]]",4.0
32,29@1648,"[[586, 1]]",5.0
33,24@1584,"[[459, 1], [1446, 1], [60, 1], [884, 1]]",4.0
34,12@1441,"[[835, 1], [755, 1]]",4.0
35,42@1488,"[[935, 1]]",2.0
36,12@2068,"[[432, 1], [170, 1], [1278, 1], [889, 1], [435, 1], [479, 1], [99, 1]]",4.0
37,37@2294,"[[1240, 1], [557, 1], [851, 1], [131, 1], [905, 1]]",3.0
38,58@2248,"[[13, 1], [681, 1], [1306, 1]]",5.0
39,4@45,"[[1442, 1], [1086, 1], [1385, 1], [506, 1], [1472, 1], [235, 1], [162, 1], [1513, 1], [251, 1], [506, 1]]",5.0
40,0@2671,"[[983, 1], [60, 1], [1407, 1]]",3.0
41,37@732,"[[1093, 1]]",4.0
42,20@312,"[[892, 1]]",4.0
43,41@2088,"[[1542, 1]]",4.0
44,32@177,"[[755, 1], [847, 1], [441, 1]]",5.0
45,19@1067,"[[131, 1], [1093, 1]]",3.0
46,59@1129,"[[835, 1], [1093, 1], [795, 1]]",3.0
47,26@330,"[[573, 1], [1220, 1], [194, 1], [892, 1], [232, 1]]",4.0
48,27@787,"[[1437, 1]]",4.0
49,27@232,"[[99, 1], [892, 1]]",1.0
50,41@1010,"[[583, 1]]",4.0
51,54@1620,"[[1385, 1], [1266, 1], [1399, 1], [1220, 1], [35, 1], [173, 1]]",3.0
52,27@1225,"[[334, 1], [660, 1]]",2.0
53,24@888,"[[1495, 1]]",5.0
54,33@931,"[[1086, 1], [506, 1], [190, 1]]",4.0
55,10@24,"[[1240, 1], [98, 1], [544, 1], [131, 1], [1168, 1], [220, 1], [692, 1], [501, 1], [1385, 1], [51, 1], [131, 1], [435, 1], [868, 1]]",5.0
56,30@2720,"[[889, 1]]",4.0
57,10@1623,"[[1259, 1], [958, 1], [1250, 1], [368, 1]]",5.0
58,60@1688,"[[1400, 1], [416, 1], [173, 1]]",4.0
59,10@1668,"[[583, 1], [755, 1], [94, 1]]",4.0
60,53@1105,"[[1385, 1], [573, 1], [405, 1], [892, 1]]",5.0
61,46@2064,"[[106, 1]]",4.0
62,23@1542,"[[98, 1]]",5.0
63,12@2072,"[[573, 1], [864, 1], [967, 1], [1437, 1], [538, 1]]",4.0
64,61@1039,"[[280, 1], [809, 1]]",3.0
65,41@123,"[[1540, 1]]",4.0
66,32@1484,"[[1402, 1], [413, 1], [157, 1], [912, 1]]",5.0
67,60@592,"[[851, 1], [625, 1], [41, 1]]",4.0
68,24@45,"[[506, 1], [1251, 1], [1407, 1], [1143, 1], [815, 1], [506, 1], [435, 1], [972, 1]]",5.0
69,5@3,"[[421, 1], [1266, 1], [1399, 1], [131, 1], [1026, 1], [1183, 1], [889, 1], [668, 1], [82, 1]]",2.0
70,48@816,"[[1445, 1], [366, 1], [1130, 1], [57, 1]]",5.0
71,59@730,"[[435, 1], [809, 1], [655, 1], [127, 1], [957, 1]]",3.33333333333
72,59@2501,"[[1093, 1]]",4.0
73,57@1126,"[[105, 1]]",4.0
74,61@379,"[[522, 1]]",3.0
75,54@1297,"[[1495, 1], [1362, 1], [131, 1]]",4.0
76,16@503,"[[755, 1]]",4.0
77,58@2568,"[[190, 1], [51, 1], [614, 1], [462, 1], [621, 1], [1249, 1], [365, 1], [345, 1], [181, 1]]",4.0
78,33@2659,"[[1485, 1], [1048, 1]]",5.0
79,4@2646,"[[1442, 1], [615, 1], [42, 1], [173, 1]]",5.0
80,16@2080,"[[892, 1], [30, 1], [809, 1]]",5.0
81,27@921,"[[573, 1]]",5.0
82,10@1704,"[[1320, 1], [170, 1], [514, 1], [1147, 1], [1093, 1], [173, 1], [509, 1]]",4.0
83,46@833,"[[864, 1], [1023, 1], [892, 1], [1093, 1], [892, 1]]",4.0
84,53@590,"[[41, 1], [992, 1], [692, 1]]",4.0
85,33@2345,"[[771, 1], [586, 1], [1006, 1]]",4.0
86,41@1414,"[[1382, 1], [692, 1], [542, 1], [1236, 1], [432, 1], [1236, 1], [735, 1], [1002, 1]]",5.0
87,12@1488,"[[557, 1], [206, 1], [1548, 1], [806, 1], [935, 1], [987, 1], [441, 1]]",3.0
88,17@643,"[[795, 1]]",3.0
89,46@670,"[[421, 1], [614, 1], [1057, 1]]",5.0
90,61@2658,"[[1093, 1]]",4.0
91,61@296,"[[432, 1], [1540, 1], [358, 1], [615, 1], [538, 1], [1386, 1]]",4.0
92,2@1539,"[[51, 1], [851, 1], [131, 1], [1210, 1], [735, 1]]",5.0
93,46@822,"[[892, 1]]",5.0
94,55@1826,"[[131, 1]]",5.0
95,22@2690,"[[755, 1], [435, 1]]",5.0
96,44@1182,"[[1283, 1]]",4.0
97,55@496,"[[614, 1], [974, 1], [892, 1], [892, 1], [1240, 1], [614, 1], [440, 1], [254, 1], [614, 1], [256, 1], [860, 1]]",4.0
98,35@404,"[[1386, 1], [935, 1]]",4.0
99,16@2337,"[[1385, 1], [98, 1]]",2.0
100,1@1987,"[[614, 1], [413, 1], [615, 1], [72, 1], [453, 1]]",4.0
101,60@1505,"[[791, 1], [97, 1]]",5.0
102,37@1994,"[[956, 1], [309, 1]]",4.0
103,44@296,"[[313, 1], [1130, 1]]",5.0
104,34@1918,"[[1093, 1], [889, 1], [1120, 1]]",4.0
105,33@147,"[[1147, 1], [435, 1], [892, 1]]",4.0
106,55@830,"[[468, 1], [1386, 1], [106, 1]]",5.0
107,53@2695,"[[421, 1], [506, 1], [1143, 1], [1060, 1], [413, 1], [1060, 1]]",5.0
108,27@555,"[[432, 1], [1136, 1], [1026, 1], [82, 1]]",5.0
109,57@2137,"[[112, 1], [1518, 1]]",4.0
110,23@2327,"[[1527, 1], [98, 1], [1002, 1], [1540, 1], [805, 1], [569, 1]]",5.0
111,55@396,"[[140, 1], [13, 1], [51, 1], [555, 1], [360, 1], [232, 1]]",5.0
112,25@2513,"[[19, 1], [655, 1], [1147, 1], [929, 1], [1533, 1], [538, 1], [199, 1], [19, 1], [435, 1], [199, 1], [471, 1], [1422, 1], [892, 1]]",3.5
113,59@2436,"[[506, 1], [468, 1], [892, 1], [106, 1], [892, 1], [58, 1]]",3.5
114,26@2088,"[[631, 1], [935, 1]]",5.0
115,41@307,"[[755, 1], [615, 1], [805, 1], [131, 1], [615, 1]]",5.0
116,61@2039,"[[190, 1], [275, 1], [851, 1], [618, 1], [115, 1], [993, 1], [912, 1]]",4.0
117,25@336,"[[273, 1], [573, 1], [521, 1], [785, 1], [864, 1], [755, 1], [1093, 1], [41, 1], [1237, 1], [250, 1], [807, 1], [595, 1], [345, 1], [815, 1], [404, 1], [1498, 1], [1548, 1], [692, 1], [1009, 1], [404, 1], [296, 1], [404, 1], [908, 1], [809, 1]]",4.57142857143
118,41@735,"[[1210, 1], [166, 1]]",4.0
119,22@715,"[[459, 1]]",4.0
120,59@1506,"[[98, 1], [544, 1], [595, 1], [864, 1], [732, 1], [1093, 1], [125, 1]]",4.0
121,37@1298,"[[1270, 1], [51, 1], [614, 1], [892, 1]]",4.0
122,16@1828,"[[124, 1]]",4.0
123,46@739,"[[1112, 1], [1251, 1], [892, 1], [892, 1]]",2.0
124,36@2115,"[[1527, 1], [506, 1], [1026, 1], [732, 1], [892, 1]]",4.0
125,38@1900,"[[1167, 1]]",5.0
126,22@1751,"[[435, 1]]",4.0
127,41@296,"[[692, 1], [1251, 1], [1184, 1]]",4.0
128,37@1076,"[[1235, 1]]",5.0
129,62@2259,"[[557, 1], [41, 1]]",5.0
130,37@1199,"[[573, 1]]",3.0
131,41@1236,"[[1547, 1]]",4.0
132,37@2382,"[[892, 1]]",4.0
133,49@2522,"[[209, 1], [1386, 1], [1010, 1]]",3.0
134,42@551,"[[190, 1], [1100, 1], [405, 1], [889, 1], [1445, 1], [912, 1]]",3.0
135,34@2022,"[[127, 1]]",4.0
136,59@2075,"[[851, 1], [1386, 1], [892, 1]]",4.0
137,36@2636,"[[1210, 1]]",3.0
138,10@1646,"[[413, 1], [94, 1], [558, 1], [360, 1], [1279, 1], [735, 1]]",4.0
139,41@896,"[[851, 1]]",5.0
140,58@1417,"[[1437, 1]]",4.0
141,12@197,"[[506, 1], [405, 1], [345, 1]]",3.0
142,3@1073,"[[944, 1]]",5.0
143,14@2363,"[[809, 1], [615, 1], [538, 1]]",4.0
144,57@2084,"[[170, 1], [892, 1], [538, 1], [1168, 1], [892, 1]]",5.0
145,59@718,"[[864, 1], [102, 1]]",2.0
146,25@250,"[[714, 1], [421, 1], [919, 1], [349, 1], [782, 1], [468, 1], [173, 1], [176, 1], [209, 1], [173, 1], [98, 1], [809, 1], [621, 1], [615, 1], [889, 1], [561, 1], [8, 1], [106, 1], [1240, 1], [920, 1], [1385, 1], [851, 1], [889, 1], [1379, 1], [892, 1], [809, 1], [851, 1], [615, 1], [322, 1], [438, 1], [538, 1]]",3.4
147,24@1994,"[[692, 1], [321, 1]]",4.0
148,4@2636,"[[460, 1], [653, 1]]",3.0
149,55@1879,"[[384, 1], [321, 1]]",4.0
150,12@561,"[[928, 1], [827, 1], [1048, 1]]",4.0
151,33@2291,"[[421, 1], [755, 1], [127, 1]]",4.0
152,29@1302,"[[557, 1]]",4.0
153,20@2231,"[[681, 1], [1386, 1], [718, 1]]",4.0
154,29@2162,"[[692, 1], [542, 1], [309, 1], [1089, 1]]",4.0
155,61@2008,"[[809, 1], [173, 1]]",3.0
156,6@920,"[[1386, 1], [1386, 1]]",5.0
157,16@2232,"[[173, 1], [892, 1], [131, 1]]",4.0
158,58@2286,"[[501, 1], [1144, 1], [309, 1], [892, 1]]",3.0
159,41@715,"[[884, 1], [1446, 1], [328, 1]]",5.0
160,9@2693,"[[681, 1]]",5.0
161,36@1240,"[[1386, 1]]",5.0
162,54@1215,"[[1009, 1], [1501, 1], [190, 1], [851, 1], [1285, 1], [493, 1], [782, 1], [20, 1], [1441, 1], [889, 1], [870, 1], [1273, 1], [233, 1], [1208, 1], [1246, 1]]",4.0
163,38@1721,"[[46, 1], [321, 1], [736, 1]]",4.0
164,0@1819,"[[735, 1], [1007, 1]]",3.0
165,25@607,"[[804, 1], [60, 1]]",3.0
166,37@322,"[[542, 1], [755, 1]]",4.0
167,37@1147,"[[101, 1], [692, 1], [1144, 1]]",5.0
168,42@498,"[[755, 1], [805, 1], [1093, 1]]",3.0
169,27@1730,"[[807, 1], [1060, 1]]",5.0
170,10@1402,"[[1219, 1]]",4.0
171,59@2650,"[[892, 1], [1120, 1]]",3.0
172,58@746,"[[875, 1], [51, 1], [131, 1], [1460, 1], [129, 1], [131, 1], [684, 1]]",5.0
173,16@108,"[[356, 1], [493, 1], [408, 1], [653, 1], [972, 1]]",4.0
174,4@2387,"[[1385, 1], [98, 1], [209, 1], [1093, 1], [1097, 1], [1437, 1]]",5.0
175,52@636,"[[119, 1]]",5.0
