iid,name,cat_id
151,帅牌特一粉2.5kg,294
217,唐人神美味腊肉350g,742
295,金健 泰香米5kg,286
298,金健原装泰香那米 5kg  泰香那米 、口味非一般哟~,286
299,金健桃花香米10kg   绿色健康大米，优质籼米！,286
302,金龙鱼优质丝苗米10kg,286
304,香纳兰纯正泰国香米10kg,286
305,金龙鱼优质东北大米5kg,286
313,金健桃花香米5kg  金健米，自然香！,286
314,香满园特选丝苗米5kg,286
321,五湖优质东北大米10kg,286
389,统一 TP蜜桃多250ml,207
432,红牛 原味型250ml 维他命饮料,212
469,银鹭  好粥道   莲子玉米粥   280g/罐,213
470,银鹭 好粥道黑米粥280g,213
471,银鹭   桂圆八宝粥   360g,213
472,银鹭 桂圆莲子八宝粥  360g,213
474,银鹭  好粥道椰奶燕麦粥   280g/罐,213
482,蒙牛 特仑苏250ml*12/盒,216
484,蒙牛 特仑苏有机牛奶250ml*12,216
508,乐事清新清爽黄瓜味薯片45g,191
509,乐事美国经典原味薯片75g,191
510,乐事  清新清爽薯片（黄瓜味）75g,191
511,乐事墨西哥鸡汁番茄味薯片75g,191
512,乐事无限清新清爽翡翠黄瓜味薯片104g,191
514,乐事美国经典原味薯片45g,191
515,乐事墨西哥鸡汁番茄味薯片45g,191
516,乐事无限忠于原味薯片104g,191
517,乐事无限鲜浓番茄味薯片104g,191
518,乐事无限嗞嗞烤肉味薯片104g,191
521,乐事无限黄瓜味薯片40g,191
522,乐事意大利香浓红烩味薯片45g,191
554,椰树  椰子汁  245ml,226
565,好丽友好多鱼脆香烧烤味33g,191
569,好丽友 巧克力派204g,169
574,好丽友浓香茄汁味好多鱼33g,204
582,嘉顿手指饼115g,173
583,嘉士利 养生红枣早餐饼167g,173
592,旺旺浪味仙蔬菜口味70g,191
595,旺旺原味小小酥60g,204
596,旺旺纯粹海苔味洋芋点心浪味仙70g,191
612,嘉顿 BB熊饼干（巧克力味）100g/袋,173
624,嘉顿 朱古力味威化200g,171
638,徐福记184果酱包馅草莓酥184g,176
643,徐福记威香芝士米果卷90g,176
644,徐福记 鸡蛋沙琪玛470g,176
674,益达至尊无糖口香糖（草本精华）56g/瓶,189
676,益达无糖口香糖（热带水果味）12片装,189
681,益达至尊无糖口香糖（清新西柚味）56g/瓶,189
747,有友山椒凤爪100g,201
750,齐云山 南酸枣糕45g,200
761,【湖南特色】步步为赢牛汁素肠50g,202
765,【湖南特色】步步为赢  越南小根鱼50g,202
766,【湖南特色】步步为赢素鱼片豆干120g,202
767,【湖南特色】步步为赢  柴火干40g,202
769,喜之郎3g原味辣味海苔,204
770,喜之郎美好时光紫菜海苔4.5g*6,204
771,喜之郎美好时光海苔36g,204
776,喜之郎黄桃 蜜桃肉杯果冻200g,748
794,长康陈酿陈醋500ml,276
796,长康精制白醋500ml,276
830,【湖南特色】口口香 香脆片80g,202
842,太阳行七姊生粉170g,294
846,安琪高活性干酵母15g,294
851,陶华碧老干妈风味鸡油辣椒280g,272
856,长康料酒500ml ,851
869,天味好人家水煮鱼调料210g,269
872,王致和料酒500g ,851
898,陶华碧老干妈风味豆豉280g,272
904,祥橱胡椒粉100g ,271
917,金龙鱼黄金比例食用调和油5L,285
920,金龙鱼精炼一级大豆油5L,285
924,金龙鱼葵花籽油5L,285
926,金龙鱼外婆香小榨菜籽油5L,285
930,太太乐鸡精227g ,853
931,太太乐鸡精454g,853
936,长寿花金胚玉米油5L,285
943,鲁花压榨一级花生油5L,285
946,鲁花压榨花生油5.436L,285
947,鲁花特香压榨菜籽油5L,285
948,鲁花非转基因物理压榨玉米油5L,285
951,龙牌酱油500ml,274
954,龙牌原生态酱油380ml,274
956,龙牌经典味酱油450ml,274
958,多力葵花籽油5L/桶 非转基因食用油 赠400ml黄金3益,285
961,海天特级金标生抽王500ml ,274
963,海天上等蚝油700g ,850
969,海天蒸鱼豉油450ml,274
973,加加面条鲜酱油500ml ,274
983,西王玉米胚芽油5L,285
1033,海天味极鲜380g ,274
1062,桂格即食燕麦片400g,247
1072,南方 黑芝麻糊480g,257
1074,南方  核桃芝麻糊 600g,257
1108,麦斯威尔 三合一原味条装咖啡13g*11片,232
1119,喜之郎 优乐美原味奶茶80g,258
1157,Wyeth/惠氏 原装进口 启赋幼儿配方奶粉3段1-3岁900g/罐,380
1191,Abbott/雅培   亲体金装喜康力雅培四段婴儿奶粉900g/罐   适合3岁儿童,383
1194,Abbott/雅培   亲体系列  进口奶源  金装喜康力4段400g/盒   适合3岁及以上婴幼儿,383
1282,Heinz/亨氏 鸡肉蔬菜营养米粉 6-36个月 400g/盒,387
1283,Heinz/亨氏 AD钙高蛋白营养米粉 6-36个月 400g/盒,387
1286,Heinz/亨氏 胡萝卜营养米粉 辅食初期-36个月 400g/盒,387
1287,Heinz/亨氏 黑米红枣营养米粉400g/盒   适合6-36个月的宝宝,387
1294,超能 天然皂粉 馨香炫彩 680g 轻松洁净,476
1314,超能 柠檬草皂260g*2 透明皂 清新祛味 椰油配方,475
1329,雕牌 高级洗衣皂252g*2  阳光柠檬,475
1353,心相印 3粒装厨房用纸75节*3卷 清洁厨具 油烟机,492
1361,七度空间 QDBG818 公主系列护垫18片 160mm,322
1364,七度空间 BQ6028 纯棉表层薄型女生护垫 28片装 内置乐Q包,322
1365,心相印 迷你型手帕纸 C2910 三层 10包 百变手帕纸 萌货来袭,495
1370,安尔乐蓝芯体验干爽网面卫生巾 纤巧夜用275mm 10片/包,321
1373,安尔乐 蓝芯体验纤巧棉柔表层卫生巾 夜用275mm 10片/包,321
1376,安尔乐 蓝芯体验LJC8110 棉柔表层卫生巾 超薄日用245mm 10片/包,321
1385,七度空间 少女系列超薄绢爽网面卫生巾 超长夜用 8片/包 338mm,321
1388,七度空间 A9410 优雅系列净爽网面夜用薄型夜用卫生巾 10片 275mm,321
1389,七度空间 QGC8105 公主系列超薄丝柔表层日用卫生巾 5片/包,321
1390,七度空间 QGC9105 公主系列净爽表层日用卫生巾 5片/包 245mm,321
1394,七度空间 QGC8805 公主系列超薄丝柔表层卫生巾超长夜用350mm 5片,321
1396,七度空间 QGC9805公主系列超长夜用净爽表层卫生巾 5片/包 350mm,321
1397,七度空间 QGC8205 公主系列超薄丝柔表层夜用卫生巾 5片 290mm,321
1402,心相印 柔肤系列三层卷纸 BT1610 卷筒卫生纸巾180g 10卷,490
1408,清风原木纯品2层180抽6包小规格抽取式面纸,489
1409,清风BWEAIAF 果漾C洁肤独立包装湿纸巾 10片,493
1410,清风10片卡通独立包装湿纸巾,493
1415,清风原木纯品3层10张10包手帕纸,495
1417,清风粉红嘟嘟两层手帕纸10包,495
1419,清风 B75AHS 单层餐巾纸 50张 纸质强韧 温柔舒适,489
1423,洁婷 WHZ206 侧吸护围棉柔夜用组合卫生巾 6片装 放心睡300mm+350mm,321
1425,七度空间 少女系列QSC7210 超薄绢爽网面夜用卫生巾10片 275mm,321
1432,洁婷微薄超薄型干爽网面日用卫生巾16片 TA616,321
1436,洁婷 WHT208 侧吸护围棉柔特长夜用卫生巾 防侧漏350mm 8片装,321
1438,高露洁  冰爽薄荷牙膏120g,365
