uid,iid,time,rating,review
7,9986000845,2015/10/29 11:28,,
7,9702000199,2015/10/29 11:28,,
7,9798000369,2015/10/29 11:28,,
7,9702000199,2015/10/29 11:28,,
7,9986000845,2015/10/29 11:28,,
7,9986000845,2015/10/29 11:28,,
7,9798000357,2015/10/29 11:28,,
7,9798000358,2015/10/29 11:28,,
7,10096000423,2015/10/29 11:28,,
7,10096000408,2015/10/29 11:28,,
7,9975000117,2015/10/29 11:28,,
7,9975000115,2015/10/29 11:28,,
7,9899000181,2015/10/29 11:28,,
7,9979000145,2015/10/29 11:28,,
7,10081000228,2015/10/29 11:28,,
7,9899000088,2015/10/30 11:06,,
7,9978000083,2015/10/30 11:06,,
7,9978000046,2015/10/30 11:06,,
7,10086000273,2015/11/9 7:15,,
7,34946,2015/11/11 11:54,,
7,34946,2015/11/11 12:01,,
7,10087000158,2015/11/11 9:48,,
7,10087000158,2015/11/11 9:49,,
11,10003000123,2015/11/10 10:04,,
11,1465,2015/11/11 10:38,,
11,299,2015/11/11 10:38,,
11,9899000080,2015/11/11 10:43,,
11,9899000080,2015/11/11 10:44,,
11,10192000093,2015/11/11 3:26,,
11,9899000080,2015/11/11 11:08,,
11,10083000353,2015/11/16 5:33,,
32,10075000002,2015/11/11 7:10,,
32,10194000241,2015/11/11 7:10,,
32,10194000242,2015/11/11 7:10,,
32,956,2015/11/11 7:18,,
32,10775,2015/11/11 7:18,,
32,305,2015/11/11 7:18,,
32,10075000002,2015/11/11 7:18,,
58,9692000032,2015/10/18 2:51,,
58,10074000217,2015/10/23 3:35,,
58,10100000226,2015/10/23 3:35,,
58,10100000226,2015/10/23 3:35,,
58,10100000226,2015/10/23 3:38,,
58,10074000217,2015/10/23 3:38,,
58,10100000226,2015/10/23 3:38,,
58,9993000759,2015/10/25 2:32,,
58,10102000408,2015/10/29 9:45,,
58,10088000194,2015/10/29 9:50,,
58,10282000001,2015/11/10 10:08,,
58,10073000210,2015/11/10 10:06,,
58,9700000213,2015/11/11 12:09,,
61,9986001054,2015/10/26 5:45,,
61,10193000186,2015/10/29 11:45,,
61,10073000210,2015/11/10 10:00,,
61,10096000374,2015/11/10 10:09,,
61,9997000231,2015/11/10 10:09,,
61,10181000360,2015/11/10 10:09,,
61,10003000123,2015/11/10 10:14,,
61,9993000759,2015/11/10 10:17,,
61,10003000326,2015/11/10 10:17,,
61,10200000126,2015/11/10 10:19,,
61,10191000274,2015/11/10 11:55,,
61,10074000217,2015/11/10 11:55,,
61,25954,2015/11/10 11:55,,
61,25947,2015/11/10 11:55,,
61,25946,2015/11/10 11:55,,
61,9787000018,2015/11/10 11:55,,
61,10191000288,2015/11/10 11:55,,
61,10281000098,2015/11/11 1:12,,
61,9985000273,2015/11/11 1:19,,
61,9985000273,2015/11/11 1:22,,
61,9798000370,2015/11/11 3:07,,
61,10003000333,2015/11/11 3:50,,
