user,item,feature,rate
cSAACR699NuLMqBPuKL8nw,-3xbryp44xhpN4BohxXDdQ,"[['bar', 1], ['hour', 1], ['steak', 1], ['price', 1]]",3
usQTOj7LQ9v0Fl98gRa3Iw,-EctXOb3B7T177jGYUhjVA,"[['chicken breast', 1], ['crowd', 1], ['beers', 1], ['Pub', 1], ['Pretty', 1], ['cheese', 1], ['menu', 1]]",4
K0euQLFAcKhQPZ6JxGAryg,-EctXOb3B7T177jGYUhjVA,"[['BBQ', 1], ['wait', 1], ['servers', 1], ['Happy Hour', 1], ['food', 1], ['beer', 1], ['ass', 1]]",3
K0euQLFAcKhQPZ6JxGAryg,-EctXOb3B7T177jGYUhjVA,"[['music', 1], ['Happy Hour', 1], ['appetizer', 1]]",4
ZW8jy6ehrNzn9A5iCubVGg,-EctXOb3B7T177jGYUhjVA,"[['pizza', 1], ['dish', 1], ['crowd', 1], ['brews', 1], ['nachos', 1], ['tip', 1], ['entrees', 1]]",4
4p-qAdc_ZLXfieNwaZGNGA,-INZ6z5X6RrHdGhk4WoYtg,"[['drinks', 1], ['drink', 1]]",3
ChgmBht69bnqSdDxpWMAqQ,-INZ6z5X6RrHdGhk4WoYtg,"[['vibe', 1], ['wait', 1], ['seating', 1]]",3
wY05e7eTtMLvkg0bcZ6zwA,-INZ6z5X6RrHdGhk4WoYtg,"[['wait', 1], ['decor', 1]]",5
bCLFdVfkAiZ7t1xDskb66Q,-INZ6z5X6RrHdGhk4WoYtg,"[['drinks', 1], ['drink', 1], ['punch', 1]]",4
EjhVxYFeMUYimoImjMduzQ,-INZ6z5X6RrHdGhk4WoYtg,"[['food', 1]]",3
kGgAARL2UmvCcTRfiscjug,-K22CWorrReIV_kgLa6dmQ,"[['St', 1], ['tables', 1], ['location', 1], ['visit', 1], ['table', 1]]",3
wbIU917ctOGp8-NdeVxIWw,-K22CWorrReIV_kgLa6dmQ,"[['service', 1], ['appetizer', 1]]",4
kGgAARL2UmvCcTRfiscjug,-K22CWorrReIV_kgLa6dmQ,"[['wait', 1], ['BWW', 1], ['visit', 1]]",2
ia1nTRAQEaFWv0cwADeK7g,-K22CWorrReIV_kgLa6dmQ,"[['sports', 1], ['service', 1], ['spicy', 1]]",4
-zaFQpPVefA_fjL5yvfnKQ,-K22CWorrReIV_kgLa6dmQ,"[['wings', 1], ['restaurant', 1], ['pretzels', 1], ['favorite', 1], ['beer', 1], ['bonus points', 1]]",3
rzHZ3iYVQe_8h2e42DbUsw,-K22CWorrReIV_kgLa6dmQ,"[['wings', 1], ['location', 1]]",3
kGgAARL2UmvCcTRfiscjug,-Q-YDKiV5pOLVWoQUFja1g,"[['bar', 1], ['piano', 1], ['favorite', 1]]",3
kGgAARL2UmvCcTRfiscjug,-Q-YDKiV5pOLVWoQUFja1g,"[['glass', 1], ['furniture', 1], ['cocktails', 1], ['service', 1]]",4
sbvSyNtI7Sgp7k4qzf2reg,-Q-YDKiV5pOLVWoQUFja1g,"[['tender', 1], ['vibe', 1], ['bar', 1], ['cigars', 1], ['patrons', 1], ['bars', 1], ['tender', 1], ['bar', 1]]",1
wY05e7eTtMLvkg0bcZ6zwA,-SB5exmdSotbAFh-NwMmbQ,"[['bar', 1], ['tab', 1], ['def', 1], ['dinner', 1]]",3
lpZtfD-vCqUER1yGKEvUPw,-UYjmGUMMVWrOQmhR3kI8g,"[['meal', 1], ['pepper', 1], ['dish', 1], ['restaurant', 1], ['drinks', 1], ['roll', 1], ['champagne', 1], ['dinner', 1], ['food', 1], ['ceilings', 1]]",4
2l2lRFuHLdyGjAuusqPDag,-V44Z21fJclQb3NJRe-4dQ,"[['bar', 1], ['bar', 1], ['crowds', 1]]",4
fczQCSmaWF78toLEmb0Zsw,-h-q6zTIdPlkz9BDP11sBg,"[['lunch', 1], ['potatoes', 1], ['Dress', 1], ['restaurant', 1], ['favorite', 1], ['pub', 1]]",4
y5_vrqIylhXMrejM_-x_vA,-h-q6zTIdPlkz9BDP11sBg,"[['specials', 1], ['beer options', 1], ['food taste', 1], ['menu', 1]]",5
ST8Yzlk2MqKlcaLqL2djBg,-h-q6zTIdPlkz9BDP11sBg,"[['app', 1], ['restaurant', 1], ['price', 1]]",5
F6QsMoJdvtohlbnST-fDyQ,-h-q6zTIdPlkz9BDP11sBg,"[['wait', 1], ['pizza', 1], ['smells', 1]]",5
F6QsMoJdvtohlbnST-fDyQ,-h-q6zTIdPlkz9BDP11sBg,"[['decor', 1], ['drinks', 1], ['decor', 1]]",5
lpZtfD-vCqUER1yGKEvUPw,-hI4yViTCj2xtTS6AID8IQ,"[['music', 1], ['staff', 1], ['hip', 1], ['table', 1], ['food', 1], ['drink specials', 1]]",4
0bNXP9quoJEgyVZu9ipGgQ,-yxfBYGB6SEqszmxJxd97A,"[['tender', 1], ['bacon', 1], ['bread', 1], ['def', 1], ['dish', 1], ['char', 1], ['visit', 1], ['menu', 1], ['cheese', 1]]",4
kGgAARL2UmvCcTRfiscjug,01cEFI5Pq_RyEwM3GSTopQ,"[['meal', 1], ['wing sauce', 1], ['bar', 1], ['wait', 1], ['patron', 1], ['Dress', 1], ['restaurant', 1], ['dip', 1], ['staff', 1], ['spicy', 1], ['flavor', 1], ['hip', 1]]",4
fczQCSmaWF78toLEmb0Zsw,01cEFI5Pq_RyEwM3GSTopQ,"[['atmosphere', 1], ['ranch', 1], ['service', 1], ['wings', 1], ['location', 1]]",3
fl6oI21uXoxVMwfR6lFanQ,01cEFI5Pq_RyEwM3GSTopQ,"[['table', 1]]",4
4ozupHULqGyO42s3zNUzOQ,01cEFI5Pq_RyEwM3GSTopQ,"[['bread', 1], ['lunch', 1], ['def', 1], ['fries', 1], ['food', 1], ['seasoning', 1]]",4
kGgAARL2UmvCcTRfiscjug,01cEFI5Pq_RyEwM3GSTopQ,"[['hour', 1], ['spot', 1], ['food', 1]]",4
PV5voYSD43Cn_3gHmxG7DA,05tazaFQt1EnQ_Gk_1AFyg,"[['beers', 1], ['tomato', 1], ['floor', 1], ['shots', 1], ['table', 1]]",4
wY05e7eTtMLvkg0bcZ6zwA,05tazaFQt1EnQ_Gk_1AFyg,"[['app', 1], ['tomato', 1]]",4
OAd-vbR_POac1zHtu-Y2Zg,05tazaFQt1EnQ_Gk_1AFyg,"[['drink', 1]]",3
U8l76MT2Ej32cFKfFI24fA,07AyHxEKx-BTO_pKRLG4Iw,"[['bar', 1], ['music', 1], ['hour', 1], ['lounge', 1], ['review', 1], ['Happy Hour', 1], ['roll', 1], ['inside', 1], ['rice', 1]]",4
OAd-vbR_POac1zHtu-Y2Zg,0CH5reg3M3FAq3I0oD6kcQ,"[['bar', 1], ['def', 1], ['lounge space', 1], ['DJ', 1], ['table', 1], ['drink', 1], ['trip', 1]]",3
U8l76MT2Ej32cFKfFI24fA,0H7ewZ656xM0bulSMowWtQ,"[['bar', 1], ['hour', 1], ['service', 1], ['sooooooo', 1], ['TVs', 1]]",4
ChgmBht69bnqSdDxpWMAqQ,0H7ewZ656xM0bulSMowWtQ,"[['def', 1], ['appetizers', 1]]",4
0bNXP9quoJEgyVZu9ipGgQ,0ONypOKIhttBz9IJzBE8jg,"[['app', 1], ['bacon', 1], ['wait', 1], ['servers', 1], ['wines', 1], ['burger', 1], ['hour', 1], ['service', 1], ['visit', 1], ['cheddar', 1], ['table', 1], ['inside', 1]]",3
uZbTb-u-GVjTa2gtQfry5g,0ONypOKIhttBz9IJzBE8jg,"[['salmon', 1], ['dip', 1], ['potato', 1]]",4
A3J10Z1KlbM9WrKj6NYLyQ,0Y3VWMpXoRKbvy9mjQ7wdw,"[['price', 1]]",5
wY05e7eTtMLvkg0bcZ6zwA,0Y3VWMpXoRKbvy9mjQ7wdw,"[['def', 1]]",4
8JC-Yb3UDUv2FUl5ym1nVg,0_J4y0aEmtuzgdsH2OfWQw,"[['tender', 1], ['bar', 1], ['def', 1], ['staff', 1], ['Lady', 1]]",5
PV5voYSD43Cn_3gHmxG7DA,0_J4y0aEmtuzgdsH2OfWQw,"[['crowd', 1], ['tip', 1], ['smokey', 1], ['venue', 1]]",4
C8ZTiwa7qWoPSMIivTeSfw,0qPmDwHa9NdvvIOgerR8HQ,"[['yummy', 1], ['def', 1], ['appetizers', 1], ['corn', 1], ['visit', 1], ['menu', 1], ['salsa', 1]]",4
sALB8-F04S9VcZMF_GkGUA,1M4oczf2lmkdgbrJ3J7OqA,"[['ambience', 1]]",4
C8ZTiwa7qWoPSMIivTeSfw,1M4oczf2lmkdgbrJ3J7OqA,"[['bread', 1], ['wait', 1], ['sink', 1], ['restaurant', 1], ['fries', 1], ['dip', 1], ['ale', 1], ['food', 1], ['cheese', 1]]",4
0bNXP9quoJEgyVZu9ipGgQ,1M4oczf2lmkdgbrJ3J7OqA,"[['app', 1], ['flavor', 1], ['pizza', 1], ['plate', 1], ['batter', 1], ['calamari', 1], ['chocolate', 1]]",3
kGgAARL2UmvCcTRfiscjug,1M4oczf2lmkdgbrJ3J7OqA,"[['app', 1], ['wait', 1]]",2
ST8Yzlk2MqKlcaLqL2djBg,1NarMOcLeTcMY8TOUew_zA,"[['service', 1], ['location', 1], ['food', 1], ['portions', 1]]",2
i8KMQX7nekLSCzb_DVb6yA,1V-pyoh29KWxVVH-vEbseA,"[['food', 1], ['sprite', 1]]",2
fl6oI21uXoxVMwfR6lFanQ,1sNa5oW9ZYX8MbMFkx9LzQ,"[['def', 1], ['sushi', 1], ['rolls', 1]]",4
uZbTb-u-GVjTa2gtQfry5g,1sNa5oW9ZYX8MbMFkx9LzQ,"[['meal', 1], ['salads', 1], ['Crazy', 1], ['hour', 1], ['menu', 1], ['food', 1], ['oyster', 1], ['price', 1]]",4
ru8p3RTlk8f9LB_3zLXURQ,1sNa5oW9ZYX8MbMFkx9LzQ,"[['wait', 1], ['crowd', 1], ['restaurant', 1], ['staff', 1]]",5
ru8p3RTlk8f9LB_3zLXURQ,1sNa5oW9ZYX8MbMFkx9LzQ,"[['steaks', 1]]",5
ru8p3RTlk8f9LB_3zLXURQ,1sNa5oW9ZYX8MbMFkx9LzQ,"[['rack', 1]]",5
ru8p3RTlk8f9LB_3zLXURQ,1sNa5oW9ZYX8MbMFkx9LzQ,"[['dish', 1], ['dishes', 1]]",5
ru8p3RTlk8f9LB_3zLXURQ,1sNa5oW9ZYX8MbMFkx9LzQ,"[['meal', 1], ['salad', 1], ['oysters', 1], ['Dining', 1]]",5
ru8p3RTlk8f9LB_3zLXURQ,1sNa5oW9ZYX8MbMFkx9LzQ,"[['food', 1]]",5
zTWH9b_ItSdLOK9ypeFOIw,1zE2M99PGgMrnvXteHTKcA,"[['bar', 1], ['def', 1], ['drink', 1], ['drinks', 1]]",4
fczQCSmaWF78toLEmb0Zsw,24V8QQWO6VaVggHdxjQQ_A,"[['bread', 1], ['salads', 1]]",5
C8ZTiwa7qWoPSMIivTeSfw,24V8QQWO6VaVggHdxjQQ_A,"[['app', 1], ['buzz', 1], ['Pretty', 1]]",4
fczQCSmaWF78toLEmb0Zsw,24V8QQWO6VaVggHdxjQQ_A,"[['review', 1], ['staff', 1], ['cheese', 1]]",5
n9Zg0jlOGtxfIrvoPm6Hhw,24V8QQWO6VaVggHdxjQQ_A,"[['patio', 1], ['table', 1], ['food', 1], ['cons', 1]]",5
fczQCSmaWF78toLEmb0Zsw,24V8QQWO6VaVggHdxjQQ_A,"[['meal', 1], ['favorite', 1], ['food', 1], ['goat cheese', 1]]",5
fczQCSmaWF78toLEmb0Zsw,24V8QQWO6VaVggHdxjQQ_A,"[['potatoes', 1], ['service', 1], ['salmon', 1], ['breakfast', 1], ['asparagus', 1]]",5
4ozupHULqGyO42s3zNUzOQ,24V8QQWO6VaVggHdxjQQ_A,"[['garlic', 1], ['wait', 1], ['butter', 1], ['bread', 1], ['restaurant', 1], ['food', 1]]",4
ru8p3RTlk8f9LB_3zLXURQ,24V8QQWO6VaVggHdxjQQ_A,"[['lunch', 1], ['restaurants', 1], ['staff', 1]]",5
kGgAARL2UmvCcTRfiscjug,2BSF6wu1V3KfyFJf1DQ3DQ,"[['dive bar', 1], ['inside', 1]]",4
lpZtfD-vCqUER1yGKEvUPw,2G-I9lROOVwkIkBSE8iVZg,"[['slices', 1], ['lunch', 1], ['bar', 1], ['review', 1], ['mayo', 1], ['mix', 1], ['favorite', 1]]",4
4ozupHULqGyO42s3zNUzOQ,2JZv-P1lDKOPKvefQlYDEQ,"[['wait', 1], ['filling', 1], ['crowd', 1], ['restaurant', 1], ['staff', 1], ['visit', 1], ['menu', 1], ['ass', 1]]",4
kGgAARL2UmvCcTRfiscjug,2JZv-P1lDKOPKvefQlYDEQ,"[['flavor', 1], ['Cheeseburger', 1], ['bar', 1], ['Fries', 1], ['kick', 1], ['spot', 1], ['food', 1]]",4
kGgAARL2UmvCcTRfiscjug,2JZv-P1lDKOPKvefQlYDEQ,"[['BBQ', 1], ['dinner', 1]]",4
sbvSyNtI7Sgp7k4qzf2reg,2JZv-P1lDKOPKvefQlYDEQ,"[['flavor', 1], ['tender', 1], ['dish', 1], ['restaurant', 1], ['lighting', 1], ['favorite', 1], ['restaurant', 1]]",5
ST8Yzlk2MqKlcaLqL2djBg,2ceeU8e3nZjaPfGmLwh4kg,"[['glass', 1], ['oysters', 1], ['hour', 1], ['beers', 1], ['drinks', 1], ['char', 1], ['bucks', 1]]",4
F6QsMoJdvtohlbnST-fDyQ,2ceeU8e3nZjaPfGmLwh4kg,"[['hour', 1], ['drinks', 1], ['ID', 1]]",1
D5J4mKahKvUBJUTWanZwdA,2ceeU8e3nZjaPfGmLwh4kg,"[['def', 1]]",4
y5_vrqIylhXMrejM_-x_vA,2ceeU8e3nZjaPfGmLwh4kg,"[['seating', 1], ['food', 1]]",4
ST8Yzlk2MqKlcaLqL2djBg,2ceeU8e3nZjaPfGmLwh4kg,"[['app', 1], ['hour', 1], ['bite', 1], ['patio', 1]]",4
2l2lRFuHLdyGjAuusqPDag,30STskTEofV3eEaDBfvuFQ,"[['bar', 1], ['bourbon', 1], ['bars', 1]]",4
EjhVxYFeMUYimoImjMduzQ,3C84uawGg_icNH4BNiSmjQ,"[['tender', 1], ['app', 1], ['bar', 1], ['burger', 1], ['bartenders', 1], ['Reuben', 1], ['food', 1], ['Cheeseburger', 1], ['food', 1]]",3
