user,item,feature,rate
19,1170,"[[1155, 1], [1567, 1], [1677, 1]]",4
136,2089,"[[605, 1]]",4
92,3035,"[[1023, 1]]",3
76,2507,"[[293, 1], [581, 1], [1155, 1], [186, 1], [545, 1], [421, 1], [1044, 1], [1874, 1], [931, 1], [969, 1], [1928, 1], [244, 1]]",4
50,1439,"[[1189, 1], [186, 1], [1209, 1], [596, 1], [965, 1], [1928, 1]]",2
29,3366,"[[1479, 1], [1913, 1], [140, 1], [125, 1]]",4
150,1175,"[[1869, 1], [1860, 1], [1631, 1], [2028, 1], [1423, 1]]",5
101,1817,"[[810, 1], [1397, 1], [1023, 1], [428, 1], [445, 1], [428, 1]]",4
67,3966,"[[1093, 1], [705, 1], [61, 1]]",4
12,2257,"[[62, 1], [186, 1]]",1
138,5016,"[[1213, 1]]",5
142,1975,"[[941, 1], [2073, 1]]",4
106,979,"[[592, 1], [2071, 1], [2098, 1], [1091, 1]]",3
4,437,"[[1514, 1], [269, 1], [1134, 1], [1213, 1], [1928, 1]]",2
85,2845,"[[152, 1], [1093, 1], [1096, 1], [1866, 1]]",5
147,4190,"[[1423, 1], [890, 1], [1613, 1], [61, 1]]",3
111,4757,"[[1479, 1], [1397, 1]]",5
121,4250,"[[835, 1], [1874, 1], [1213, 1], [361, 1]]",5
3,5210,"[[1213, 1]]",2
88,4533,"[[592, 1], [230, 1]]",5
145,4296,"[[1567, 1], [1946, 1], [1956, 1]]",1
85,1676,"[[558, 1], [268, 1], [1744, 1], [731, 1]]",4
102,1293,"[[307, 1], [2087, 1]]",4
87,5233,"[[1956, 1]]",2
142,796,"[[643, 1]]",4
18,3604,"[[1243, 1], [581, 1], [436, 1], [602, 1], [246, 1], [1979, 1], [1213, 1], [476, 1], [1243, 1], [31, 1], [496, 1]]",4
54,4197,"[[861, 1], [897, 1]]",5
104,2683,"[[1153, 1], [186, 1], [768, 1], [1479, 1]]",5
83,2005,"[[1779, 1]]",4
61,898,"[[186, 1]]",4
67,468,"[[301, 1]]",3
99,5094,"[[565, 1]]",3
146,1996,"[[711, 1], [711, 1]]",3
124,4858,"[[1368, 1], [246, 1]]",2
102,969,"[[485, 1], [2002, 1]]",5
99,2028,"[[1651, 1], [731, 1]]",3
96,1766,"[[1101, 1], [2047, 1], [1874, 1], [1423, 1], [969, 1]]",5
35,2490,"[[186, 1], [1874, 1]]",4
114,4655,"[[1787, 1], [1874, 1]]",4
146,1986,"[[1599, 1], [214, 1], [319, 1], [230, 1], [1956, 1], [1567, 1]]",4
102,1523,"[[845, 1], [641, 1], [1213, 1]]",5
42,1030,"[[1845, 1], [586, 1]]",5
93,2757,"[[792, 1], [1870, 1], [2008, 1], [1273, 1]]",4
31,1756,"[[1096, 1]]",4
96,1895,"[[2093, 1]]",4
122,3106,"[[596, 1], [1979, 1]]",5
147,1428,"[[2079, 1], [61, 1], [1213, 1]]",4
100,4284,"[[1273, 1]]",5
35,4847,"[[1719, 1], [496, 1], [1013, 1]]",3
92,1764,"[[1092, 1]]",5
51,556,"[[643, 1], [1946, 1]]",4
92,2070,"[[941, 1], [1623, 1]]",5
0,3390,"[[2016, 1], [43, 1]]",4
3,3958,"[[1363, 1], [596, 1]]",4
2,3260,"[[137, 1]]",5
50,1979,"[[1972, 1], [1941, 1], [526, 1], [605, 1]]",3
39,3397,"[[1213, 1]]",3
58,2686,"[[163, 1], [137, 1]]",5
54,946,"[[186, 1]]",4
42,1571,"[[186, 1], [1273, 1], [62, 1]]",4
137,526,"[[186, 1], [605, 1]]",4
126,2703,"[[565, 1], [2084, 1]]",3
26,1822,"[[274, 1], [1900, 1], [539, 1], [1514, 1]]",3
90,4097,"[[268, 1], [1419, 1]]",1
99,551,"[[1096, 1], [1567, 1], [1210, 1], [1423, 1], [1946, 1], [1397, 1]]",3
18,4285,"[[1975, 1], [324, 1], [655, 1]]",5
1,349,"[[845, 1], [62, 1], [569, 1]]",5
115,796,"[[294, 1]]",5
103,3252,"[[761, 1]]",4
79,184,"[[28, 1]]",5
71,4091,"[[246, 1]]",3
144,1285,"[[1674, 1], [835, 1], [738, 1], [1189, 1]]",4
99,5180,"[[777, 1]]",3
100,886,"[[2016, 1]]",5
134,3892,"[[468, 1]]",5
92,5112,"[[757, 1]]",3
42,896,"[[1652, 1], [955, 1], [1273, 1]]",5
53,2555,"[[1023, 1]]",3
145,4077,"[[1692, 1], [256, 1]]",5
102,530,"[[965, 1], [268, 1], [186, 1], [246, 1], [61, 1], [1213, 1], [351, 1], [1397, 1], [1290, 1], [255, 1], [324, 1]]",4
103,2583,"[[2016, 1]]",3
67,2453,"[[1714, 1], [1155, 1], [793, 1], [556, 1], [445, 1], [180, 1], [268, 1], [1905, 1], [835, 1], [1970, 1], [845, 1], [1216, 1], [1928, 1], [835, 1]]",3
130,2142,"[[2089, 1]]",2
38,2771,"[[590, 1], [1096, 1], [1567, 1], [809, 1], [130, 1]]",4
123,3802,"[[1946, 1], [777, 1]]",4
101,1688,"[[1869, 1], [137, 1], [757, 1], [1533, 1], [137, 1]]",5
44,2612,"[[376, 1], [1714, 1], [1126, 1], [1479, 1], [246, 1], [176, 1]]",5
30,3866,"[[1873, 1]]",4
8,2221,"[[1155, 1], [1479, 1], [965, 1]]",4
125,4193,"[[941, 1], [1931, 1], [835, 1], [975, 1], [539, 1]]",4
111,1337,"[[941, 1], [948, 1], [1368, 1], [1423, 1]]",5
46,3261,"[[1048, 1]]",3
126,474,"[[460, 1], [1948, 1]]",4
38,5256,"[[1870, 1], [901, 1], [1033, 1]]",4
42,762,"[[491, 1]]",4
56,2531,"[[590, 1], [137, 1], [646, 1], [1643, 1], [1475, 1]]",4
72,2751,"[[689, 1], [186, 1]]",1
16,4665,"[[694, 1]]",2
56,4024,"[[1096, 1], [1213, 1]]",2
81,4787,"[[1707, 1]]",5
37,1498,"[[941, 1], [268, 1], [777, 1], [643, 1], [324, 1]]",5
8,4050,"[[1104, 1]]",4
94,765,"[[835, 1], [1155, 1], [186, 1], [607, 1], [1213, 1], [1204, 1], [492, 1], [246, 1], [1213, 1]]",4
108,810,"[[1372, 1], [1869, 1], [268, 1], [607, 1], [1479, 1], [1009, 1], [850, 1]]",3
103,1629,"[[353, 1]]",4
70,2511,"[[1414, 1]]",5
106,2816,"[[810, 1]]",4
38,4080,"[[1372, 1], [1142, 1], [337, 1], [268, 1], [324, 1]]",4
9,456,"[[202, 1], [1155, 1], [1744, 1], [1514, 1]]",4
100,700,"[[1213, 1], [87, 1]]",4
144,5211,"[[137, 1]]",4
145,506,"[[992, 1], [1956, 1], [605, 1]]",5
45,2184,"[[992, 1]]",5
11,2950,"[[77, 1], [551, 1]]",4
93,2367,"[[736, 1], [1044, 1], [1368, 1]]",4
88,4306,"[[549, 1], [249, 1], [549, 1]]",4
18,268,"[[1931, 1]]",3
81,4686,"[[1869, 1]]",5
42,235,"[[581, 1], [278, 1], [246, 1]]",5
83,3137,"[[1186, 1]]",4
31,229,"[[186, 1]]",1
3,3466,"[[15, 1]]",3
144,5033,"[[605, 1]]",5
145,2029,"[[1692, 1], [1172, 1]]",5
115,1413,"[[1928, 1], [476, 1]]",1
92,4249,"[[565, 1]]",4
14,805,"[[581, 1], [1096, 1], [1155, 1]]",4
101,3343,"[[605, 1]]",5
38,2070,"[[943, 1], [646, 1], [1213, 1], [2089, 1], [605, 1]]",5
15,5247,"[[941, 1]]",4
61,1824,"[[15, 1], [1530, 1], [1213, 1]]",4
54,653,"[[268, 1], [1543, 1], [385, 1]]",3
102,5016,"[[1096, 1], [186, 1], [385, 1]]",4
88,3194,"[[1023, 1], [428, 1], [115, 1]]",5
92,2123,"[[591, 1]]",5
92,84,"[[1978, 1], [711, 1], [1978, 1]]",3
99,2230,"[[1273, 1]]",5
42,330,"[[1978, 1], [1368, 1], [88, 1]]",4
120,313,"[[2016, 1], [163, 1], [2091, 1], [125, 1]]",4
138,2812,"[[1963, 1]]",4
76,3244,"[[88, 1]]",1
101,5162,"[[121, 1], [1875, 1]]",4
147,1648,"[[1172, 1], [1467, 1]]",4
16,4249,"[[1978, 1], [500, 1], [1978, 1]]",4
140,5159,"[[1023, 1]]",4
4,3306,"[[15, 1], [1536, 1], [1273, 1], [455, 1], [61, 1], [61, 1]]",4
39,3855,"[[1372, 1], [268, 1], [635, 1]]",5
0,2071,"[[518, 1]]",1
80,3327,"[[25, 1]]",2
67,1113,"[[592, 1], [142, 1], [1155, 1], [486, 1], [605, 1], [1104, 1], [142, 1]]",4
101,4130,"[[1340, 1], [565, 1], [1209, 1], [1400, 1], [1811, 1]]",4
66,1638,"[[1155, 1], [186, 1], [1874, 1], [1213, 1]]",4
67,1500,"[[1093, 1], [1023, 1], [1273, 1], [1888, 1], [289, 1]]",2
93,4925,"[[689, 1], [581, 1], [142, 1], [1014, 1], [1850, 1]]",2
151,703,"[[1874, 1], [1210, 1], [1981, 1]]",5
150,2275,"[[77, 1], [460, 1], [342, 1], [969, 1], [83, 1]]",3
79,735,"[[835, 1], [565, 1], [545, 1], [596, 1], [1928, 1]]",3
121,2234,"[[835, 1], [1928, 1], [1867, 1], [268, 1]]",4
93,4931,"[[268, 1], [1278, 1], [88, 1]]",1
145,2202,"[[1632, 1], [294, 1], [445, 1], [1094, 1]]",2
149,3844,"[[694, 1]]",5
134,4998,"[[268, 1], [2005, 1]]",5
147,4872,"[[137, 1], [537, 1], [1475, 1], [1189, 1]]",4
88,941,"[[526, 1], [1016, 1], [428, 1], [969, 1]]",4
139,185,"[[1155, 1], [1397, 1], [1514, 1], [83, 1]]",4
39,3486,"[[736, 1]]",4
22,233,"[[835, 1]]",4
41,3410,"[[498, 1]]",5
50,3185,"[[268, 1], [1096, 1], [915, 1], [604, 1]]",2
116,3744,"[[1947, 1], [246, 1], [1423, 1]]",4
65,658,"[[1650, 1], [1023, 1]]",5
113,4052,"[[1078, 1], [1874, 1]]",3
88,5116,"[[1869, 1], [1189, 1], [142, 1], [501, 1], [102, 1]]",3
105,1267,"[[1273, 1]]",4
88,1435,"[[428, 1], [2048, 1]]",4
99,879,"[[186, 1], [1567, 1]]",3
71,4415,"[[757, 1], [777, 1], [607, 1], [1479, 1], [1273, 1]]",3
77,4854,"[[2055, 1], [1093, 1]]",4
30,27,"[[1869, 1], [1889, 1], [1096, 1], [1155, 1], [1983, 1], [545, 1], [1567, 1], [556, 1], [445, 1], [1213, 1], [731, 1], [840, 1]]",3
136,374,"[[1913, 1]]",4
126,1048,"[[441, 1], [738, 1], [1213, 1]]",3
131,743,"[[643, 1], [342, 1], [1867, 1]]",5
50,1042,"[[207, 1]]",4
39,101,"[[1096, 1], [1023, 1], [1479, 1], [1213, 1], [2089, 1], [1567, 1]]",4
92,1382,"[[1273, 1], [62, 1]]",4
61,3312,"[[186, 1], [1213, 1]]",4
108,3010,"[[592, 1], [1941, 1]]",4
62,1671,"[[2031, 1], [1423, 1]]",3
38,945,"[[55, 1]]",4
19,4265,"[[491, 1], [1632, 1]]",5
104,2343,"[[1574, 1], [1213, 1]]",4
40,1690,"[[142, 1], [694, 1]]",5
125,2486,"[[77, 1], [460, 1], [1452, 1], [565, 1]]",4
94,2672,"[[2016, 1], [294, 1], [586, 1], [1690, 1], [125, 1]]",4
79,5240,"[[1913, 1]]",5
28,2983,"[[1273, 1], [1956, 1], [605, 1]]",5
32,4347,"[[1874, 1], [596, 1], [1213, 1], [1567, 1]]",4
152,3895,"[[445, 1]]",4
78,5099,"[[208, 1], [1546, 1], [1657, 1], [1874, 1]]",5
112,4074,"[[1913, 1], [544, 1], [186, 1]]",5
64,2523,"[[508, 1], [1689, 1], [1213, 1], [2089, 1], [1567, 1]]",3
129,638,"[[186, 1], [1397, 1], [731, 1]]",4
151,1594,"[[795, 1]]",4
15,1590,"[[757, 1], [191, 1]]",4
110,3120,"[[186, 1], [609, 1]]",3
120,717,"[[1744, 1], [1283, 1]]",4
89,1453,"[[1072, 1], [2016, 1]]",5
34,2960,"[[526, 1], [605, 1]]",3
88,4378,"[[941, 1], [152, 1], [246, 1], [1213, 1]]",3
54,3269,"[[294, 1], [1913, 1]]",5
145,2446,"[[1189, 1], [1455, 1], [2003, 1], [496, 1], [1956, 1], [1189, 1]]",2
128,5069,"[[1372, 1], [1869, 1], [268, 1], [1946, 1], [1407, 1]]",4
8,4021,"[[1479, 1], [1928, 1]]",4
98,1748,"[[2043, 1], [268, 1], [1688, 1]]",3
17,2081,"[[62, 1], [1873, 1]]",2
136,3831,"[[2079, 1], [1639, 1], [1273, 1]]",4
89,3810,"[[1189, 1], [1213, 1], [969, 1], [186, 1], [1564, 1], [969, 1]]",4
75,964,"[[142, 1], [1540, 1], [1874, 1], [61, 1]]",5
134,5160,"[[1874, 1]]",5
56,4810,"[[376, 1], [581, 1], [380, 1], [142, 1], [1397, 1], [1213, 1]]",4
38,2176,"[[1546, 1]]",5
118,1458,"[[491, 1]]",3
144,2838,"[[1874, 1], [1779, 1]]",5
43,3542,"[[1172, 1], [1213, 1], [406, 1], [1213, 1]]",3
122,1964,"[[268, 1], [1873, 1], [1567, 1], [731, 1], [351, 1], [1100, 1], [491, 1], [255, 1]]",4
66,4564,"[[186, 1]]",1
138,977,"[[1315, 1]]",4
26,1762,"[[15, 1], [1479, 1], [1867, 1]]",4
4,608,"[[1315, 1]]",3
51,4543,"[[1565, 1], [1530, 1], [1866, 1]]",5
87,1133,"[[683, 1], [1796, 1]]",3
82,2149,"[[1874, 1], [724, 1], [724, 1]]",5
100,3357,"[[1870, 1]]",4
10,171,"[[941, 1], [163, 1], [2081, 1]]",4
134,4248,"[[137, 1]]",5
