,user,item,rate
0,19,1170,4
1,136,2089,4
2,92,3035,3
3,76,2507,4
4,50,1439,2
5,29,3366,4
6,150,1175,5
7,101,1817,4
8,67,3966,4
9,12,2257,1
10,138,5016,5
11,142,1975,4
12,106,979,3
13,4,437,2
14,85,2845,5
15,147,4190,3
16,111,4757,5
17,121,4250,5
18,3,5210,2
19,88,4533,5
20,145,4296,1
21,85,1676,4
22,102,1293,4
23,87,5233,2
24,142,796,4
25,18,3604,4
26,54,4197,5
27,104,2683,5
28,83,2005,4
29,61,898,4
30,67,468,3
31,99,5094,3
32,146,1996,3
33,124,4858,2
34,102,969,5
35,99,2028,3
36,96,1766,5
37,35,2490,4
38,114,4655,4
39,146,1986,4
40,102,1523,5
41,42,1030,5
42,93,2757,4
43,31,1756,4
44,96,1895,4
45,122,3106,5
46,147,1428,4
47,100,4284,5
48,35,4847,3
49,92,1764,5
50,51,556,4
51,92,2070,5
52,0,3390,4
53,3,3958,4
54,2,3260,5
55,50,1979,3
56,39,3397,3
57,58,2686,5
58,54,946,4
59,42,1571,4
60,137,526,4
61,126,2703,3
62,26,1822,3
63,90,4097,1
64,99,551,3
65,18,4285,5
66,1,349,5
67,115,796,5
68,103,3252,4
69,79,184,5
70,71,4091,3
71,144,1285,4
72,99,5180,3
73,100,886,5
74,134,3892,5
75,92,5112,3
76,42,896,5
77,53,2555,3
78,145,4077,5
79,102,530,4
80,103,2583,3
81,67,2453,3
82,130,2142,2
83,38,2771,4
84,123,3802,4
85,101,1688,5
86,44,2612,5
87,30,3866,4
88,8,2221,4
89,125,4193,4
90,111,1337,5
91,46,3261,3
92,126,474,4
93,38,5256,4
94,42,762,4
95,56,2531,4
96,72,2751,1
97,16,4665,2
98,56,4024,2
99,81,4787,5
100,37,1498,5
101,8,4050,4
102,94,765,4
103,108,810,3
104,103,1629,4
105,70,2511,5
106,106,2816,4
107,38,4080,4
108,9,456,4
109,100,700,4
110,144,5211,4
111,145,506,5
112,45,2184,5
113,11,2950,4
114,93,2367,4
115,88,4306,4
116,18,268,3
117,81,4686,5
118,42,235,5
119,83,3137,4
120,31,229,1
121,3,3466,3
122,144,5033,5
123,145,2029,5
124,115,1413,1
125,92,4249,4
126,14,805,4
127,101,3343,5
128,38,2070,5
129,15,5247,4
130,61,1824,4
131,54,653,3
132,102,5016,4
133,88,3194,5
134,92,2123,5
135,92,84,3
