user,item,feature,rate
130,194,"[[1255, 1], [483, 1], [275, 1], [990, 1], [3032, 1], [1123, 1], [2456, 1], [1554, 1], [813, 1]]",5
1510,194,"[[830, 1], [3237, 1], [2562, 1], [1395, 1], [453, 1], [2093, 1], [2038, 1]]",5
1292,194,"[[483, 1], [2577, 1], [2777, 1], [3032, 1], [3237, 1]]",5
789,194,"[[2777, 1], [990, 1], [3191, 1], [573, 1], [990, 1], [3424, 1]]",3
1056,194,"[[483, 1], [137, 1], [3009, 1], [830, 1], [665, 1], [2093, 1]]",5
1431,995,"[[1019, 1], [2270, 1], [2562, 1]]",4
836,995,"[[3457, 1], [3237, 1], [2093, 1]]",5
473,995,"[[357, 1], [2000, 1], [453, 1]]",4
860,995,"[[747, 1], [150, 1], [356, 1], [900, 1]]",2
836,995,"[[284, 1], [2093, 1], [2093, 1]]",3
153,995,"[[2000, 1], [3124, 1], [1269, 1]]",4
1217,995,"[[2946, 1], [1817, 1], [603, 1]]",2
1405,995,"[[1375, 1], [2000, 1], [2958, 1]]",3
1543,995,"[[356, 1], [233, 1]]",4
84,995,"[[3226, 1], [284, 1], [496, 1], [1990, 1], [2093, 1], [920, 1]]",5
696,995,"[[483, 1], [1990, 1], [496, 1], [1365, 1]]",3
1398,995,"[[3008, 1], [2000, 1]]",4
554,995,"[[2368, 1], [2897, 1], [356, 1]]",4
1514,995,"[[356, 1], [1682, 1]]",4
1450,995,"[[2897, 1], [2000, 1], [356, 1], [3655, 1], [789, 1], [3191, 1], [2093, 1], [3343, 1], [269, 1], [1852, 1], [3343, 1]]",4
1337,995,"[[2093, 1], [841, 1], [356, 1]]",4
1854,3855,"[[356, 1], [1353, 1]]",4
500,3855,"[[3431, 1], [2562, 1], [2093, 1]]",4
425,3855,"[[2897, 1], [2554, 1], [2000, 1], [453, 1], [789, 1]]",3
1877,3855,"[[284, 1], [1019, 1], [1050, 1], [2639, 1]]",3
1,3855,"[[284, 1], [3261, 1], [990, 1], [1124, 1], [1049, 1], [211, 1]]",4
1837,3855,"[[551, 1], [1365, 1]]",3
964,3855,"[[2000, 1], [356, 1], [3343, 1]]",4
1738,1411,"[[2368, 1], [2000, 1], [356, 1], [2408, 1], [2093, 1]]",5
291,1411,"[[267, 1], [2408, 1], [2282, 1], [2358, 1], [233, 1], [2147, 1], [1062, 1]]",5
1750,1411,"[[2058, 1], [2000, 1], [2408, 1], [3343, 1]]",4
1007,1411,"[[2000, 1], [356, 1], [3237, 1], [3655, 1]]",5
305,1411,"[[284, 1], [3527, 1], [2147, 1]]",5
1781,1411,"[[2897, 1], [2408, 1], [2093, 1], [356, 1], [2093, 1]]",3
288,1411,"[[2147, 1]]",4
1529,1411,"[[3418, 1], [1845, 1], [1467, 1], [1411, 1], [900, 1], [601, 1], [2692, 1], [2282, 1], [1682, 1], [1795, 1], [1724, 1], [3343, 1], [1845, 1], [900, 1], [3655, 1]]",4
255,1411,"[[2946, 1], [1019, 1], [2554, 1], [2933, 1], [2270, 1], [900, 1], [877, 1], [1837, 1], [3343, 1], [2147, 1], [731, 1], [900, 1]]",5
1865,1411,"[[111, 1], [2000, 1]]",5
1300,1411,"[[284, 1], [356, 1], [2408, 1], [233, 1]]",4
1336,1411,"[[789, 1]]",5
534,1411,"[[217, 1]]",5
1564,1411,"[[284, 1], [2933, 1], [2827, 1], [453, 1], [3343, 1]]",5
162,1411,"[[2147, 1], [2368, 1], [1040, 1], [1629, 1], [284, 1], [1328, 1], [267, 1], [2353, 1], [1845, 1], [3191, 1], [233, 1], [2093, 1], [2147, 1], [2408, 1], [453, 1], [2093, 1]]",4
1145,1411,"[[1019, 1], [1259, 1], [1365, 1], [1287, 1], [3237, 1], [3343, 1], [2147, 1]]",5
1065,1411,"[[284, 1], [2058, 1], [2661, 1], [3008, 1], [2000, 1], [1845, 1], [1467, 1], [2408, 1], [2147, 1]]",5
80,1411,"[[1019, 1], [2933, 1], [2358, 1], [3655, 1], [453, 1], [108, 1], [789, 1], [3343, 1], [2147, 1]]",5
922,1411,"[[1629, 1], [2661, 1], [2270, 1], [1845, 1], [2562, 1], [2022, 1], [3343, 1], [2147, 1], [952, 1], [1558, 1]]",5
1750,1411,"[[3226, 1], [2812, 1], [1349, 1], [1365, 1], [2408, 1], [2906, 1], [233, 1], [2147, 1], [900, 1]]",5
21,1411,"[[2788, 1], [1019, 1], [2491, 1], [2408, 1], [2093, 1], [2147, 1]]",5
1045,4211,"[[1817, 1], [483, 1], [2093, 1]]",2
1615,4211,"[[1678, 1], [2800, 1], [2354, 1], [483, 1], [1112, 1], [2408, 1], [2218, 1], [573, 1], [813, 1], [1774, 1]]",3
942,4211,"[[109, 1], [789, 1]]",2
1638,4211,"[[2000, 1]]",3
967,4211,"[[1124, 1]]",3
500,4211,"[[483, 1], [453, 1], [959, 1], [2718, 1], [1765, 1]]",4
326,4211,"[[2093, 1]]",2
666,4211,"[[1124, 1]]",3
1877,4211,"[[3226, 1], [1609, 1], [3261, 1], [751, 1], [2218, 1], [885, 1], [3605, 1], [96, 1]]",4
1484,1732,"[[1255, 1], [3343, 1]]",4
14,1732,"[[137, 1]]",3
1645,1732,"[[3261, 1], [675, 1], [920, 1]]",4
1032,1732,"[[1629, 1], [2726, 1]]",3
542,1732,"[[2000, 1], [965, 1], [2577, 1], [108, 1], [2093, 1], [1269, 1]]",4
581,710,"[[2661, 1], [1990, 1], [2849, 1], [990, 1], [796, 1], [2093, 1], [622, 1], [2368, 1], [483, 1], [172, 1], [3008, 1]]",1
1624,710,"[[1981, 1], [3224, 1]]",2
1540,710,"[[483, 1], [915, 1], [2147, 1]]",3
254,710,"[[813, 1]]",2
1260,710,"[[483, 1], [137, 1]]",2
53,710,"[[483, 1], [3237, 1], [3343, 1], [3343, 1]]",2
1493,710,"[[1019, 1], [3473, 1], [1795, 1], [2763, 1], [137, 1]]",1
178,710,"[[1049, 1]]",3
1591,710,"[[483, 1], [1019, 1], [3009, 1], [990, 1], [2147, 1]]",1
1354,710,"[[1324, 1], [2429, 1]]",4
675,710,"[[2000, 1]]",4
1845,710,"[[2368, 1], [483, 1], [1019, 1], [1365, 1], [1049, 1]]",2
1741,710,"[[483, 1], [1019, 1], [137, 1], [1990, 1], [2000, 1], [990, 1], [1224, 1], [990, 1]]",3
689,710,"[[2359, 1], [1823, 1]]",5
1679,710,"[[2260, 1], [1124, 1]]",3
1709,710,"[[356, 1], [3343, 1]]",4
1543,710,"[[2456, 1]]",3
1291,710,"[[483, 1], [483, 1]]",1
0,710,"[[483, 1], [813, 1], [845, 1], [875, 1], [2846, 1]]",3
1659,710,"[[109, 1]]",1
1703,710,"[[2058, 1], [3224, 1]]",1
1306,710,"[[1869, 1], [421, 1]]",5
55,1731,"[[3226, 1], [1050, 1], [1225, 1], [356, 1], [588, 1]]",3
974,1731,"[[3226, 1], [989, 1], [200, 1], [2000, 1], [2456, 1], [3472, 1], [751, 1]]",3
1395,1731,"[[989, 1], [2491, 1], [2777, 1], [1127, 1], [573, 1], [3224, 1], [1765, 1]]",4
1076,1731,"[[356, 1], [2777, 1], [1724, 1], [2093, 1], [1062, 1]]",4
412,1731,"[[1259, 1], [453, 1]]",4
1664,1731,"[[2093, 1], [573, 1], [483, 1]]",4
836,1731,"[[2093, 1], [573, 1]]",4
56,1731,"[[1019, 1], [2000, 1], [573, 1], [3032, 1]]",4
1664,1731,"[[1255, 1], [483, 1], [3237, 1], [573, 1], [2093, 1]]",3
450,1731,"[[342, 1], [2897, 1], [1019, 1], [3237, 1], [453, 1], [1083, 1], [2093, 1]]",4
1182,1731,"[[2777, 1], [3303, 1]]",5
902,1731,"[[3226, 1], [137, 1], [1990, 1], [2093, 1], [675, 1]]",4
251,1731,"[[908, 1], [813, 1], [2777, 1], [77, 1], [3398, 1], [1269, 1], [453, 1]]",4
366,1731,"[[141, 1], [200, 1], [3237, 1]]",4
563,1731,"[[540, 1], [2093, 1], [685, 1]]",4
69,1731,"[[1829, 1], [675, 1]]",2
1640,1731,"[[2969, 1], [2093, 1]]",4
1408,1731,"[[3226, 1], [1990, 1], [573, 1]]",3
1161,1731,"[[483, 1], [3069, 1], [573, 1]]",5
565,1731,"[[375, 1], [1019, 1], [2661, 1], [2924, 1], [2093, 1], [573, 1], [2147, 1]]",3
965,1731,"[[1019, 1]]",3
565,1731,"[[137, 1], [2924, 1], [474, 1]]",4
465,1731,"[[989, 1], [1990, 1], [2905, 1], [1724, 1]]",4
1257,1731,"[[150, 1], [2777, 1], [61, 1]]",2
1685,1731,"[[1123, 1], [2093, 1], [2359, 1], [2359, 1]]",5
1622,1731,"[[2058, 1], [1903, 1], [3237, 1], [3069, 1], [3343, 1], [671, 1]]",4
570,1731,"[[1328, 1]]",4
1022,1731,"[[2000, 1], [2577, 1], [1766, 1], [573, 1]]",5
1068,1731,"[[137, 1]]",3
434,1731,"[[2602, 1], [483, 1], [3191, 1], [789, 1]]",3
1755,1731,"[[483, 1]]",2
1107,1731,"[[3535, 1], [675, 1]]",4
827,1731,"[[483, 1], [900, 1], [3237, 1], [573, 1]]",4
1628,1731,"[[200, 1], [1845, 1], [813, 1], [1216, 1], [675, 1], [877, 1], [1031, 1]]",4
1730,1731,"[[137, 1], [1083, 1], [573, 1], [3424, 1]]",5
1741,1731,"[[1019, 1], [2000, 1], [2088, 1], [2093, 1]]",3
1642,1839,"[[3226, 1], [2897, 1], [483, 1], [1050, 1], [2414, 1]]",3
1489,1839,"[[2554, 1], [813, 1], [1240, 1], [3237, 1], [2156, 1], [2456, 1], [38, 1]]",4
167,1839,"[[483, 1], [2554, 1], [1240, 1], [3491, 1], [3459, 1]]",4
699,1839,"[[2093, 1]]",3
313,1839,"[[82, 1], [990, 1]]",5
547,1839,"[[2156, 1]]",4
1221,1839,"[[3313, 1], [885, 1], [622, 1]]",3
1443,1839,"[[269, 1], [775, 1], [2372, 1], [3121, 1]]",3
459,1839,"[[2000, 1], [3063, 1], [2156, 1]]",3
192,1839,"[[2311, 1], [3191, 1], [3424, 1]]",4
494,1839,"[[2156, 1]]",4
387,1839,"[[483, 1], [601, 1], [2156, 1]]",4
1502,1839,"[[3226, 1], [483, 1], [1240, 1], [2777, 1], [3237, 1], [3178, 1]]",4
1302,1839,"[[1903, 1], [2777, 1], [2562, 1], [3424, 1], [622, 1]]",3
1802,1839,"[[483, 1], [2156, 1]]",3
1508,1839,"[[483, 1], [2257, 1], [2218, 1], [2156, 1], [915, 1]]",4
1150,3035,"[[2368, 1], [2969, 1], [483, 1], [2000, 1], [1120, 1], [956, 1], [3645, 1], [2147, 1]]",4
