,user,item,rate
0,130,194,5
1,1510,194,5
2,1510,194,5
3,789,194,3
4,789,194,3
5,130,194,5
6,1292,194,5
7,1292,194,5
8,473,995,4
9,1431,995,4
10,1431,995,4
11,836,995,5
12,473,995,4
13,1543,995,4
14,789,194,3
15,130,194,5
16,1217,995,2
17,836,995,3
18,1217,995,2
19,554,995,4
20,1398,995,4
21,84,995,5
22,1854,3855,4
23,1398,995,4
24,1337,995,4
25,1514,995,4
26,1877,3855,3
27,1337,995,4
28,696,995,3
29,1292,194,5
30,1510,194,5
31,836,995,5
32,964,3855,4
33,1398,995,4
34,1007,1411,5
35,1738,1411,5
36,696,995,3
37,1750,1411,4
38,1292,194,5
39,1877,3855,3
40,1510,194,5
41,1514,995,4
42,1217,995,2
43,291,1411,5
44,1405,995,3
45,964,3855,4
46,1431,995,4
47,130,194,5
48,21,1411,5
49,291,1411,5
50,554,995,4
51,964,3855,4
52,1615,4211,3
53,1854,3855,4
54,1398,995,4
55,1854,3855,4
56,1638,4211,3
57,1738,1411,5
58,1431,995,4
59,666,4211,3
60,1877,4211,4
61,1,3855,4
62,1543,995,4
63,1300,1411,4
64,554,995,4
65,1540,710,3
66,922,1411,5
67,534,1411,5
68,534,1411,5
69,254,710,2
70,1007,1411,5
71,178,710,3
72,1615,4211,3
73,1065,1411,5
74,84,995,5
75,1877,3855,3
76,1877,3855,3
77,1591,710,1
78,964,3855,4
79,84,995,5
80,542,1732,4
81,1431,995,4
82,1845,710,2
83,1260,710,2
84,305,1411,5
85,1431,995,4
86,1431,995,4
87,1738,1411,5
88,789,194,3
89,14,1732,3
90,291,1411,5
91,1405,995,3
92,1540,710,3
93,1354,710,4
94,1337,995,4
95,1,3855,4
96,450,1731,4
97,922,1411,5
98,1750,1411,5
99,836,1731,4
100,288,1411,4
101,1032,1732,3
102,922,1411,5
103,1306,710,5
104,1659,710,1
105,1645,1732,4
106,581,710,1
107,305,1411,5
108,1408,1731,3
109,500,4211,4
110,1,3855,4
111,254,710,2
112,1398,995,4
113,967,4211,3
114,1624,710,2
115,1638,4211,3
116,922,1411,5
117,565,1731,4
118,836,995,5
119,860,995,2
120,581,710,1
121,1709,710,4
122,1065,1411,5
123,1741,710,3
124,21,1411,5
125,167,1839,4
126,1514,995,4
127,288,1411,4
128,1638,4211,3
129,827,1731,4
130,1292,194,5
131,1543,995,4
